nomor,server,template,pembaca_validasi,jenis_validasi
1,tahun,tahun,tahun,required|integer
2,bulan,bulan,bulan,required|integer
3,sandi,sandi,sandi,required|numeric
4,saldo_awal,saldo_awal,saldo_awal,required|numeric
5,rata_saldo_awal,rata_saldo_awal,rata_saldo_awal,required|numeric
6,volume_pembelian,volume_pembelian,volume_pembelian,required|numeric
7,volume_penjualan,volume_penjualan,volume_penjualan,required|numeric
8,saldo_akhir,saldo_akhir,saldo_akhir,required|numeric
9,rata_saldo_akhir,rata_saldo_akhir,rata_saldo_akhir,required|numeric
10,kurs_tengah,kurs_tengah,kurs_tengah,required|numeric
11,_saldo_akhir_hitung,_saldo_akhir_hitung,saldo_akhir_hitung,required|numeric
12,_saldo_akhir_lebih,_saldo_akhir_lebih,saldo_akhir_lebih,required|numeric
13,_saldo_akhir_lebih_selisih,_saldo_akhir_lebih_selisih,saldo_akhir_lebih_selisih,required|numeric
14,_spread_keuntungan,_spread_keuntungan,spread_keuntungan,required|numeric
15,_stok_mata_uang_bertambah,_stok_mata_uang_bertambah,stok_mata_uang_bertambah,required|numeric
16,,NRA_APU,NRA_APU,nullable|numeric
17,,nama_KUPVA_BB,nama_KUPVA_BB,required|string|max:255
18,,wilayah_kerja,wilayah_kerja,required|string|max:255
19,,pulau,pulau,required|string|max:255
20,,provinsi,provinsi,required|string|max:255
21,,kota,kota,required|string|max:255
22,,pengurus,pengurus,nullable|string|max:255
23,,pengurus_list,pengurus_list,nullable|string|max:255
24,,pemegang_saham,pemegang_saham,nullable|string|max:255
25,,pemegang_saham_list,pemegang_saham_list,nullable|string|max:255
26,saldo_awal_outlier,saldo_awal_outlier,saldo_awal_outlier,nullable|numeric
27,volume_pembelian_outlier,volume_pembelian_outlier,volume_pembelian_outlier,nullable|numeric
28,volume_penjualan_outlier,volume_penjualan_outlier,volume_penjualan_outlier,nullable|numeric
29,saldo_akhir_outlier,saldo_akhir_outlier,saldo_akhir_outlier,nullable|numeric
30,_saldo_akhir_hitung_outlier,_saldo_akhir_hitung_outlier,saldo_akhir_hitung_outlier,nullable|numeric
31,_saldo_akhir_lebih_selisih_outlier,_saldo_akhir_lebih_selisih_outlier,saldo_akhir_lebih_selisih_outlier,nullable|numeric
32,_spread_keuntungan_outlier,_spread_keuntungan_outlier,spread_keuntungan_outlier,nullable|numeric
33,,kpwdn,kpwdn,nullable|string|max:255
