ID LKPBU;2016;2017;2018;2019;2020;2021;2022;2023;2024
777249566;0.00;0.00;0.00;0.00;3.35;5.00;0.00;0.00;0.00 
777249614;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00 
777249711;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249656;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249564;0.00;0.00;0.00;0.00;3.35;0.00;0.00;0.00;0.00 
777249287;0.00;0.00;3.15;3.00;2.15;5.00;0.00;0.00;0.00 
777249647;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;3.70 
777249620;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249511;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249574;0.00;0.00;0.00;0.00;3.95;1.00;0.00;1.00;0.00 
777249730;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.87 
777249505;0.00;0.00;0.00;0.00;2.45;5.00;0.00;0.00;0.00 
777249633;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249641;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249729;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.07 
777249096;0.00;0.00;2.65;2.65;3.50;0.00;0.00;2.75;0.00 
777249726;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.84 
777249552;0.00;0.00;0.00;0.00;2.75;5.00;0.00;0.00;0.00 
777249599;0.00;0.00;0.00;0.00;0.00;3.05;3.05;0.00;0.00 
777249714;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249663;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249542;0.00;0.00;0.00;0.00;0.00;2.27;2.27;2.27;3.40 
777249697;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.40 
777249682;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249507;0.00;0.00;0.00;0.00;1.00;2.80;0.00;2.75;0.00 
777249613;0.00;0.00;0.00;0.00;0.00;0.00;4.00;4.00;2.26 
777249699;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.26 
777249617;0.00;0.00;0.00;0.00;0.00;3.00;1.00;4.80;0.00 
777958130;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249732;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.42 
777248710;0.00;0.00;1.69;2.31;2.00;2.30;1.00;2.16;3.30 
777249637;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.62 
777249573;0.00;0.00;0.00;0.00;3.05;3.85;3.25;3.25;0.00 
777249690;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249735;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777248538;0.00;0.00;1.10;1.10;1.00;1.00;0.00;1.10;0.00 
777249674;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.38 
777249579;0.00;0.00;0.00;0.00;0.00;5.00;0.00;0.00;0.00 
777249596;0.00;0.00;0.00;0.00;0.00;2.00;0.00;2.00;0.00 
777249712;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249581;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.14;0.00 
777249631;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249667;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249540;0.00;0.00;0.00;0.00;4.10;2.25;2.25;1.35;3.10 
777249539;0.00;0.00;0.00;0.00;3.65;0.00;0.00;0.00;0.00 
777249619;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249676;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777248908;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;3.55 
777249698;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.34 
777249662;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.00;0.00 
777249687;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249629;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249642;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.43;0.00 
777249733;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.19 
777249685;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249700;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.39 
777249605;0.00;0.00;0.00;0.00;0.00;2.50;0.00;3.85;0.00 
777249683;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.37 
777249538;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249709;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249666;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249734;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249721;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249652;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3.00;2.64 
777249653;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.10;2.31 
777249513;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249591;0.00;0.00;0.00;0.00;0.00;1.50;0.00;1.83;0.00 
777249565;0.00;0.00;0.00;0.00;1.10;0.00;0.00;0.00;0.00 
777249668;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249587;0.00;0.00;0.00;0.00;0.00;0.00;4.00;3.00;2.40 
777249658;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249671;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.25;0.00 
777249689;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249679;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00 
777248512;0.00;0.00;3.20;2.80;2.80;1.00;0.00;0.00;0.00 
777248128;0.00;0.00;2.40;2.40;1.90;0.00;0.00;0.00;0.00 
777249728;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.44 
777249560;0.00;0.00;0.00;0.00;4.05;5.00;0.00;0.00;0.00 
777248219;0.00;0.00;1.00;2.14;1.50;1.25;0.00;1.37;0.00 
777249563;0.00;0.00;0.00;0.00;1.20;0.00;0.00;0.00;0.00 
777249627;0.00;0.00;0.00;0.00;0.00;1.00;0.00;1.37;0.00 
777249494;0.00;0.00;0.00;2.15;2.80;2.15;3.38;2.00;0.00 
777249752;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249632;0.00;0.00;0.00;0.00;0.00;0.00;0.00;2.68;0.00 
777249578;0.00;0.00;0.00;0.00;0.00;1.60;1.60;1.60;1.00 
777249590;0.00;0.00;0.00;0.00;0.00;0.00;4.00;3.00;2.37 
777249659;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
777249152;0.00;0.00;2.85;2.85;2.15;0.87;0.00;0.00;0.00 
777249646;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00 
