sandi,2016,2017,2018,2019,2020,2021,2022,2023,2024
777930073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
777930088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
777930077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
777930057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
777930058,0.0,0.0,0.0,0.0,3.65,5.0,0.0,0.0,0.0
777930099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0
777930069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
777930098,0.0,0.0,0.0,0.0,0.0,0.0,2.4,2.4,1.4
777962666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
777930095,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,1.0
777930081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
777930097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
777930108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
777930086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
777930096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
777930083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0
777930074,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
777930056,0.0,0.0,0.0,0.0,0.0,1.65,1.65,1.65,1.0
777930101,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0
777930110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.05,0.0
777930075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
777930093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930079,0.0,0.0,0.0,0.0,0.0,1.39,0.0,1.0,0.0
777958111,0.0,0.0,0.84,1.6,1.6,0.0,0.0,2.0,0.0
777930062,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
777930089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
777930114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930071,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
777930107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
777930076,0.0,0.0,0.0,0.0,0.0,3.79,0.0,1.0,0.0
777930078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
777930129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
777930059,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0
777930082,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
777930065,0.0,0.0,0.0,0.0,1.8,0.0,0.0,1.0,0.0
777959269,0.0,0.0,2.72,2.15,1.65,1.61,0.0,0.0,0.0
777930018,0.0,0.0,0.0,4.6,1.15,0.0,0.0,1.0,0.0
777958140,0.0,0.0,2.35,2.1,2.1,2.2,0.0,0.0,0.0
777959303,0.0,0.0,4.6,4.45,4.5,1.66,0.0,0.0,0.0
777930042,0.0,0.0,0.0,2.0,2.0,2.0,2.72,2.59,0.0
777959229,0.0,0.0,3.45,3.45,2.75,5.0,0.0,0.0,0.0
777958170,0.0,0.0,3.9,3.8,3.8,0.0,3.0,3.0,4.0
777930051,0.0,0.0,0.0,3.1,3.1,0.0,0.0,2.0,0.0
777930024,0.0,0.0,0.0,4.6,1.0,0.0,3.0,1.0,0.0
777930037,0.0,0.0,0.0,3.55,3.25,1.0,0.0,0.0,0.0
777958125,0.0,0.0,0.0,1.9,1.4,0.0,0.0,2.0,0.0
777957798,0.0,0.0,0.0,2.95,0.0,0.0,0.0,1.0,0.0
777958799,0.0,0.0,0.0,1.0,0.91,1.0,0.0,2.0,0.0
777249192,0.0,0.0,3.45,3.75,3.45,0.0,0.0,0.0,0.0
777958152,0.0,0.0,3.5,3.9,2.8,2.48,0.0,0.0,0.0
777930028,0.0,0.0,0.0,1.4,1.0,0.0,0.0,2.0,0.0
777249398,0.0,0.0,4.9,4.05,2.55,1.0,0.0,0.0,0.0
