sandi,no_izin,nama,tgl_jatuh_tempo_izin,npwp,modal_disetor,kpwdn,pulau,provinsi,kota,pengurus,pemegang_saham
777111112,13/87/DASP/34,Omni Pay Transfer Dana,01/01/0001,,0,KPwBI Provinsi DKI Jakarta,,,,,
777111113,13/93/DASP/39,Tranglo Indonesia,,21.055.712.0-071.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Pusat,,
777230002,18/195/Tgl/3,Simpan Pinjam (KOSPIN) Jasa,,,0,KPwBI Tegal,Jawa,Provinsi Jawa Tengah,Kota Pekalongan,,
777248185,11/7/Btm/4,Citra Niaga Remittance,,02.956.533.0-215.000,300000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Antony Sunarko,Fenny; Martini
777248329,11/12/Btm/7,Hosana Remittance,,02.956.703.9-215.000,0,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,,
777248877,15/127/Mdn/10,Top Exchange,,31.339.598.0-113.000,500000000,KPwBI Provinsi Sumatera Utara,Sumatera,Provinsi Sumatera Utara,Kota Medan,Myron Philemon Widyanata,Lidijawati Tandrawarsito; Veronica Wijaya
777248909,13/83/DASP/33,Andalusia Antar Benua,,,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Selatan,,
777248911,14/100/DASP/42,Immer,,03.171.371.2-034.000,0,KPwBI Provinsi DKI Jakarta,Jawa,Provinsi DKI Jakarta,Wil. Kota Jakarta Timur,,
777249101,16/155/Btm/46,Kristal Multi Remitter,,,0,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kab. Karimun,,
777249151,17/176/Btm/63,Global Transfer Dana,,,0,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,,
777249191,17/187/Btm/69,Asia Jaya Remindo,,72.036.681.4-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Christian Angga Saputra,Christian Angga Saputra; Yusuf
777249192,17/185/Btm/68,Mulia Multi Remitter,,73.453.512.3-214.000,300000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Tanjung Pinang,Roby,Budi; Roby
777249193,17/188/Btm/70,Wijaya Welson Fernando,,73.357.971.8-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Hendry Welson,Desy Christina ; Hendry Welson
777249232,7/191/Btm/72,Willim Mandiri Sejahtera,,73.358.077.3-215.000,500000000,KPwBI Provinsi Kepulauan Riau,Sumatera,Provinsi Kep. Riau,Kota Batam,Rendy Willim,Linda; Marcelia Liminy; Rendy Willim ; Widarto
